종목코드,종목명
A035600,KG이니시스
A035610,솔본
A035620,바른손이앤에이
A035720,카카오
A035760,CJ ENM
A035810,이지홀딩스
A035890,서희건설
A035900,JYP Ent.
A036000,예림당
A036010,아비코전자
A036030,케이티알파
A036090,위지트
A036120,서울평가정보
A036170,에이치엠넥스
A036180,지더블유바이텍
A036190,금화피에스시
A036200,유니셈
A036220,오상헬스케어
A036420,콘텐트리중앙
A036460,한국가스공사
A036480,대성미생물
A036530,SNT홀딩스
A036540,SFA반도체
A036560,KZ정밀
A036570,엔씨소프트
A036580,팜스코
A036620,감성코퍼레이션
A036630,세종텔레콤
A036640,HRS
A036670,삼양케이씨아이
A036690,코맥스
A036710,심텍홀딩스
A036800,나이스정보통신
A036810,에프에스티
A036830,솔브레인홀딩스
A036890,진성티이씨
A036930,주성엔지니어링
A037030,파워넷
A037070,파세코
A037230,한국팩키지
A037270,YG PLUS
A037330,인지디스플레
A037350,성도이엔지
A037370,EG
A037400,우리엔터프라이즈
A037440,희림
A037460,삼지전자
A037560,LG헬로비전
A037710,광주신세계
A037760,쎄니트
A037950,엘컴텍
A038010,제일테크노스
A038060,루멘스
A038070,서린바이오
A038110,에코플라스틱
A038290,마크로젠
A038390,레드캡투어
A038460,바이오스마트
A038500,삼표시멘트
A038530,케이바이오
A038540,상상인
A038620,위즈코프
A038680,에스넷
A038870,에코바이오
A038880,아이에이
A038950,파인디지털
A039010,현대에이치티
A039020,이건홀딩스
A039030,이오테크닉스
A039130,하나투어
A039200,오스코텍
A039240,경남스틸
A039290,인포뱅크
A039310,세중
A039340,한국경제TV
A039420,케이엘넷
A039440,에스티아이
A039490,키움증권
A039560,다산네트웍스
A039570,HDC랩스
A039610,화성밸브
A039740,한국정보공학
A039830,오로라
A039840,디오
A039860,나노엔텍
A039980,폴라리스AI
A040160,누리플렉스
A040300,YTN
A040350,크레오에스지
A040420,정상제이엘에스
A040610,SG&G
A040910,아이씨디
A041020,폴라리스오피스
A041190,우리기술투자
A041440,현대에버다임
A041460,한국전자인증
A041510,에스엠
A041520,이엘씨
A041590,플래스크
A041650,상신브레이크
A041830,인바디
A041910,폴라리스AI파마
A041920,메디아나
A041930,동아화성
A041960,코미팜
A042000,카페24
A042040,케이피엠테크
A042110,에스씨디
A042370,비츠로테크
A042420,네오위즈홀딩스
A042500,링네트
A042510,라온시큐어
A042520,한스바이오메드
A042600,새로닉스
A042660,한화오션
A042700,한미반도체
A042940,상지건설
A043090,더테크놀로지
A043100,알파AI
A043150,바텍
A043200,파루
A043220,티에스넥스젠
A043260,성호전자
A043340,에쎈테크
A043360,디지아이
A043370,피에이치에이
A043590,웰킵스하이텍
A043610,KT지니뮤직
A043650,국순당
A043710,서울리거
A043910,자연과환경
A044180,KD
A044340,위닉스
A044380,주연테크
A044450,KSS해운
A044480,빌리언스
A044490,태웅
A044780,에이치케이
A044820,코스맥스비티아이
A044960,이글벳
A044990,에이치엔에스하이텍
A045060,오공
A045100,한양이엔지
A045300,성우테크론
A045340,토탈소프트
A045390,대아티아이
A045510,정원엔시스
A045520,크린앤사이언스
A045660,에이텍
A045970,코아시아
A046070,코다코
A046120,오르비텍
A046210,HLB파나진
A046310,백금T&A
A046390,삼화네트웍스
A046440,KG모빌리언스
A046890,서울반도체
A046940,우원개발
A046970,우리로
A047040,대우건설
A047050,포스코인터내셔널
A047080,한빛소프트
A047310,파워로직스
A047400,유니온머티리얼
A047560,이스트소프트
A047770,코데즈컴바인
A047810,한국항공우주
A047820,초록뱀미디어
A047920,HLB제약
A048410,현대바이오
A048430,유라테크
A048470,대동스틸
A048530,인트론바이오
A048550,SM C&C
A048770,TPC
A048830,엔피케이
A048870,시너지이노베이션
A048910,대원미디어
A049070,인탑스
A049080,기가레인
A049120,파인디앤씨
A049180,셀루메드
A049430,코메론
A049470,비트플래닛
A049480,오픈베이스
A049520,유아이엘
A049550,잉크테크
A049630,재영솔루텍
A049720,고려신용정보
A049800,우진플라임
A049830,승일
A049950,미래컴퍼니
A049960,쎌바이오텍
A050090,비케이홀딩스
A050110,캠시스
A050120,ES큐브
A050760,에스폴리텍
A050860,아세아텍
